"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2020","0.305","0.307","0.307","0.305","86.17K","0.00%"
"02/04/2020","0.305","0.307","0.307","0.305","76.05K","0.00%"
"02/03/2020","0.305","0.307","0.307","0.305","182.20K","-0.65%"
"01/31/2020","0.307","0.307","0.307","0.307","97.50K","0.00%"
"01/30/2020","0.307","0.305","0.310","0.305","257.08K","0.66%"
"01/29/2020","0.305","0.305","0.307","0.305","408.56K","-0.65%"
"01/28/2020","0.307","0.305","0.307","0.305","215.36K","0.00%"
"01/23/2020","0.307","0.307","0.307","0.307","662.31K","0.00%"
"01/22/2020","0.307","0.310","0.310","0.305","467.79K","0.00%"
"01/21/2020","0.307","0.305","0.310","0.305","630.89K","0.00%"
"01/20/2020","0.307","0.307","0.307","0.307","32.06K","0.00%"
"01/16/2020","0.307","0.307","0.307","0.307","79.53K","0.00%"
"01/15/2020","0.307","0.307","0.307","0.307","67.60K","-0.97%"
"01/14/2020","0.310","0.305","0.310","0.305","237.36K","0.98%"
"01/13/2020","0.307","0.307","0.307","0.305","104.82K","0.00%"
"01/09/2020","0.307","0.310","0.310","0.307","195.41K","0.00%"
"01/08/2020","0.307","0.307","0.307","0.307","37.86K","0.00%"
"01/07/2020","0.307","0.307","0.310","0.307","779.30K","0.66%"
"01/06/2020","0.305","0.305","0.305","0.305","39.69K","0.00%"
"01/03/2020","0.305","0.305","0.310","0.305","79.49K","0.00%"
"01/02/2020","0.305","0.307","0.307","0.305","602.17K","0.00%"
"12/31/2019","0.305","0.305","0.305","0.305","27.37K","0.00%"
"12/30/2019","0.305","0.305","0.310","0.305","944.14K","-0.65%"
"12/27/2019","0.307","0.307","0.310","0.307","24.04K","0.66%"
"12/23/2019","0.305","0.305","0.305","0.305","170.93K","0.00%"
"12/21/2019","0.305","0.305","0.305","0.305","","0.00%"
"12/20/2019","0.305","0.305","0.305","0.305","20.00K","0.00%"
"12/19/2019","0.305","0.305","0.305","0.305","2.74M","0.00%"
"12/18/2019","0.305","0.305","0.307","0.305","45.98K","-1.61%"
"12/17/2019","0.310","0.305","0.310","0.305","290.52K","1.64%"